Summary,Description,Number of developers,Number of comments,Issue key,Story point
iOS Debugger: JSCore: Debug on iOS breaks/halts at first line of app.js even without breakpoint,"When an app is debug on an iOS simulator/device, it breaks/halts at the first line of app.js (for both classic and alloy apps) even if there is no breakpoint added in any file.

* The issue occurs with <use-jscore-framework> as true
* The issue occurs for both Alloy and Classic apps

Steps To Reproduce:
1. Create a default classic or alloy app
2. Add a breakpoint anywhere except the first line in app.js / add breakpoint in index.js of alloy app
3. Debug on iOS sim or device

Actual Result:
The debugger hits the first line of app.js (in both classic and alloy app) even though no breakpoint is on that line.
In case of alloy app click on Resume after that shows up source not found and hence debugging is blocked.

Expected Result:
The debugger should hit only the line with a breakpoint. If there are no breakpoints then it should just run without stopping at a particular line",0,3,TISTUD-8635,5
iOS Debugger: JSCore: NPE on click of any debug control button after debug has been terminated,"While debugging an app click on Terminate debug button. The other debug controls like resume/pause and other step buttons still remain enabled. Clicking on any of those then give a Null pointer exception

* The issue occurs only when <use-jscore-framework> is true
* The issue occurs for both Alloy and Classic apps

Steps to Reproduce:
1. Create a new project
2. Add a breakpoint
3. Debug the project on iOS simulator
4. During the debug process, click on terminate button to terminate debug.
5. Click on any other enabled debug control button like resume/pause

Actual Result:
An exception is shown. Following are the studio logs
{code}
!MESSAGE An internal error occurred during: ""Execute Debug Command"".
!STACK 0
java.lang.NullPointerException
	at com.axway.inspector.protocol.internal.Inspector.sendCommandAsync(Inspector.java:263)
	at com.axway.inspector.protocol.internal.Inspector.sendCommandAsync(Inspector.java:257)
	at com.axway.inspector.debugger.internal.Debugger.stepInto(Debugger.java:167)
	at com.appcelerator.titanium.ios.core.launching.debug.JSCThread.stepInto(JSCThread.java:97)
	at com.appcelerator.titanium.ios.core.launching.debug.JSCStackFrame.stepInto(JSCStackFrame.java:92)
	at org.eclipse.debug.internal.core.commands.StepIntoCommand.step(StepIntoCommand.java:32)
	at org.eclipse.debug.internal.core.commands.StepCommand.doExecute(StepCommand.java:36)
	at org.eclipse.debug.core.commands.AbstractDebugCommand$1.run(AbstractDebugCommand.java:225)
	at org.eclipse.core.internal.jobs.Worker.run(Worker.java:54)
{code} ",1,2,TISTUD-8612,5
iOS Debugger: JSCore: Debug on iOS Simulator for first time hangs on splash screen,"When an app is debug on an iOS simulator for the first time then it hangs on the splash screen. Again trying to debug on same simulator works successfully and breakpoint is hit.

* The issue occurs with <use-jscore-framework> as true
* The issue occurs for both Alloy and Classic apps

Steps To Reproduce:
1. Create a new project
2. Add a breakpoint
3. Debug the project on iOS simulator
4. Terminate the debug process and again debug the same project on same simulator

Actual Result:
After Step3: The app gets stuck on the splash screen and no breakpoint is hit. Following exception is shown in studio logs:
{Code}
!MESSAGE (Build 4.9.0.201609281711) [ERROR]  Unable to find our application in the listing of applications.
!STACK 0
com.axway.inspector.protocol.InspectorException: Unable to find our application in the listing of applications.
	at com.axway.inspector.protocol.internal.Inspector.handleConnectedApplicationList(Inspector.java:590)
	at com.axway.inspector.protocol.internal.Inspector.messageReceived(Inspector.java:319)
	at com.axway.inspector.protocol.internal.InspectorReader.run(InspectorReader.java:60)
	at java.lang.Thread.run(Thread.java:745)
{Code}

After Step4: On second time trying to debug then breakpoint is hit successfully and the app can be debugged.

Expected Result:
Should be able to debug the app each time the debug process is ran.",1,0,TISTUD-8611,8
iOS Debugger: JSCore: Variables not shown in variable window when debug on iOS simulator,"When debugging on iOS simulator the variable window does not show any variables except for ""_proto_"" variable

* The issue occurs with <use-jscore-framework> as true
* The issue occurs for both Alloy and Classic apps

Steps to Reproduce:
1. Create a new project
2. Add a breakpoint
3. Debug the project on iOS simulator

Actual Result:
The variables window during the whole debug process shows only one variable ""_proto_""

Expected Results:
The variables window should show all the relevant variables",1,4,TISTUD-8609,8
"[""Expected ')'"","""",1] in Dev Toolbox Console on launch","Unsure what's triggering this, but I saw it in my dev toolbox console on the launch of Studio",1,7,TISTUD-7905,5
TiAPI: Add util.getSystemErrorName() shim,"Add an equivalent implementation of Node.js' {{util.getSystemErrorName()}} method: https://nodejs.org/api/util.html#util_util_getsystemerrorname_err
",1,0,TIMOB-28244,5
TiAPI: Add util.isDeepStrictEqual() shim,"Add an equivalent implementation of Node.js' {{util.isDeepStrictEqual()}} method: https://nodejs.org/api/util.html#util_util_isdeepstrictequal_val1_val2
",1,0,TIMOB-28243,5
TiAPI: Add os.version() shim,"Add an equivalent implementation of Node.js' {{os.version()}} method. On my macOS box, this returns {{'Darwin Kernel Version 19.6.0: Thu Oct 29 22:56:45 PDT 2020; root:xnu-6153.141.2.2~1/RELEASE_X86_64'}}",1,0,TIMOB-28242,5
CLI: Unable to find an iOS Simulator running iOS 14.0.,"I'm seeing this locally, m as well s on the build node with Xcode 12 beta 2 installed.  trying to build an iOS app the CLI shows:

{code}
2020-07-16T18:13:57.547Z] Command
[2020-07-16T18:13:57.547Z]   /Users/build/jenkins/tools/jenkins.plugins.nodejs.tools.NodeJSInstallation/node_10.17.0/bin/node /Users/build/jenkins/workspace/ium-sdk_titanium_mobile_PR-11049/titanium-mobile-mocha-suite/node_modules/titanium/lib/titanium.js build --project-dir /Users/build/jenkins/workspace/ium-sdk_titanium_mobile_PR-11049/titanium-mobile-mocha-suite/scripts/mocha --platform ios --target simulator --log-level info --deploy-type test --hide-error-controller --device-family iphone --no-prompt --color
[2020-07-16T18:13:57.547Z] 
[2020-07-16T18:13:57.547Z] [ERROR] :  Unable to find an iOS Simulator running iOS 14.0.
[2020-07-16T18:13:57.547Z] 
[2020-07-16T18:13:57.547Z] Error: Exited unexpectedly with exit code: 1
[2020-07-16T18:13:57.547Z]     at ChildProcess.prc.on.code (/Users/build/jenkins/workspace/ium-sdk_titanium_mobile_PR-11049/titanium-mobile-mocha-suite/scripts/test.js:506:19)
[2020-07-16T18:13:57.547Z]     at ChildProcess.emit (events.js:198:13)
[2020-07-16T18:13:57.547Z]     at maybeClose (internal/child_process.js:982:16)
[2020-07-16T18:13:57.547Z]     at Socket.stream.socket.on (internal/child_process.js:389:11)
[2020-07-16T18:13:57.547Z]     at Socket.emit (events.js:198:13)
[2020-07-16T18:13:57.547Z]     at Pipe._handle.close (net.js:607:12)
{code}",1,1,TIMOB-28031,5
iOS: Unit tests failing on Xcode 11 / iOS 13,"Once we started building and running against Xcode 11 and iOS 13, we have two unit tests that started failing:

ios.Titanium.UI.iOS.#createPreviewContext() - expected 0 to equal 300
ios.Titanium.UI.Window..safeAreaPadding for window inside navigation window with extendSafeArea true - expected 34 to equal 0

This can be found on any of our recent master branch builds on master",1,3,TIMOB-27351,5
Android: Reading a JSON file fails on Android Q,"Running the following code, returns t==null
{quote}
var file=Ti.Filesystem.getFile(Config.PathRoot.resources,'some.json');
var d=file.read();
var t=d.text;
{quote}

Analysis:
TiBlob#getText checks TiMimeTypeHelper.isBinaryMimeType(mimetype) and if the file is binary, it only allows application/octet-stream. The detected mime type comes from android.webkit.MimeTypeMap#getMimeTypeFromExtension (in TiMimeTypeHelper#getMimeTypeFromFileExtension). This used to return the octet-steam mime on *.json files, but it was probably fixed to properly return application/json.
",1,12,TIMOB-26954,5
iOS: Application crashes on launch on iOS9,"h5.Description

Running a default application to iOS 9 crashes on launch with the below (this isn't logged either fwiw). This looks to be down to the usage of {{const}}, if I change addBinding to be declared with {{var}} it works, if I enable transpilation it work. I will investigate this further as there is usage of const/let throughout the new os/path code so I assume they will error.

{code}
/ti.main.js:33
const addBinding = require('./ti.internal/extensions/binding');
^
(null)
(null)

4   TitaniumKit0x0000000109a7b34c -[KrollBridge evalFile:callback:selector:] + 55
5   TitaniumKit0x0000000109a7bd0d -[KrollBridge didStartNewContext:] + 1805
6   TitaniumKit0x0000000109ab340e -[KrollContext main] + 1084
7   libdispatch.dylib    0x000000010be05c89 _dispatch_call_block_and_release + 12
8   libdispatch.dylib    0x000000010be213d7 _dispatch_client_callout + 8
9   libdispatch.dylib    0x000000010be0be5d _dispatch_main_queue_callback_4CF + 714
10  CoreFoundation  0x000000010a4f40f9 __CFRUNLOOP_IS_SERVICING_THE_MAIN_DISPATCH_QUEUE__ + 9
11  CoreFoundation  0x000000010a4b5b99 __CFRunLoopRun + 2073
12  CoreFoundation  0x000000010a4b50f8 CFRunLoopRunSpecific + 488
13  GraphicsServices0x000000010c443ad2 GSEventRunModal + 161
14  UIKit 0x0000000106359f09 UIApplicationMain + 171
15  ticreateapp0x00000001047d9286 main + 950
16  libdyld.dylib   0x000000010be5092d start + 1
{code}

h5.Steps to reproduce

# Create a default application
# Build it for iOS 9 (sim or device",1,2,TIMOB-26672,5
Use rollup to avoid circular references with ES6 imports in JavascriptCore,"- JavascriptCore does not have full ES6 module support, circular references with {{import}} will cause a stack overflow

*TEST CASE*
{code:js}
// TODO
{code}",1,8,TIMOB-25768,8
Windows: Ti.Utils.base64encode behaves different between Android/iOS and Windows,"h3. Problem

The result of Ti.Utils.base64encode is different between iOS and Android. On iOS there are newline characters included when the string is long enough, on Android the newline characters are stripped out (which is the correct way to do base64 UTF8 encoding). Please see the attached screenshot explaining the issue. 

h3. Sample Code

{noformat}

(function() {
    
    var win = Ti.UI.createWindow({backgroundColor:'white'});
    win.open();
    var shortString = 'ABCDEFGHIJ1234567890ABCDEFGHIJ12|psndemo2|abcd:1';
    var longString  = 'ABCDEFGHIJ1234567890ABCDEFGHIJ12|psndemo2|abcd:12345678901234567890';
    var tiBase64ShortResult = Ti.Utils.base64encode(shortString);
    var tiBase64LongResult  = Ti.Utils.base64encode(longString);

    tiBase64ShortResult = String(tiBase64ShortResult);
    tiBase64LongResult = String(tiBase64LongResult);


     // BUG #2: Run this code in iOS and Android and compare the results
    // On iOS we get newline characters. On Android the newline characters are stripped out.
    // The correct behavior for UTF8 base64 encoding is to strip out the newline characters. 
    // Android's implementation is correct.
    tiBase64ShortResult = tiBase64ShortResult.replace(/\r\n/g,""***NEWLINE***"");
    tiBase64LongResult  = tiBase64LongResult.replace(/\r\n/g,""***NEWLINE***"");
    var alertDialog = Titanium.UI.createAlertDialog(
    {
        title: 'Result', 
        message: 'short: ' + tiBase64ShortResult + '\nlong: ' + tiBase64LongResult, buttonNames: ['OK','Cancel'] 
    });
    alertDialog.show();
})();

{noformat}",1,3,TIMOB-25513,5
Windows: Mocha test Titanium.UI.Window window_position_is_read_only test failure,"Titanium.UI.Window window_position_is_read_only please investigate the failure. 

Please use https://github.com/ewanharris/titanium-mobile-mocha-suite/tree/TIMOB-24816 to find the related test
You can use https://github.com/ewanharris/mocha-test to quickly debug (most) mocha tests)",1,6,TIMOB-25143,5
Windows: Mocha test Titanium.UI.Window window_size_is_read_only test failure,"Titanium.UI.Window window_size_is_read_only please investigate the failure. 

Please use https://github.com/ewanharris/titanium-mobile-mocha-suite/tree/TIMOB-24816 to find the related test
You can use https://github.com/ewanharris/mocha-test to quickly debug (most) mocha tests)",1,5,TIMOB-25142,5
Windows: Mocha test Titanium.UI.View border test failure,"Titanium.UI.View border please investigate the failure. 

Please use https://github.com/ewanharris/titanium-mobile-mocha-suite/tree/TIMOB-24816 to find the related test
You can use https://github.com/ewanharris/mocha-test to quickly debug (most) mocha tests)",1,5,TIMOB-25137,5
Windows: Mocha test Titanium.UI.TextField width test failure,"Titanium.UI.TextField width please investigate the failure. 

Please use https://github.com/ewanharris/titanium-mobile-mocha-suite/tree/TIMOB-24816 to find the related test
You can use https://github.com/ewanharris/mocha-test to quickly debug (most) mocha tests)",1,4,TIMOB-25136,8
Windows: Mocha test Titanium.UI.TextField padding test failure,"Titanium.UI.TextField padding please investigate the failure. 

Please use https://github.com/ewanharris/titanium-mobile-mocha-suite/tree/TIMOB-24816 to find the related test
You can use https://github.com/ewanharris/mocha-test to quickly debug (most) mocha tests)",1,6,TIMOB-25134,5
Windows: Mocha test Titanium.UI.Layout TIMOB-23305 test failure,"Titanium.UI.Layout TIMOB-23305 please investigate the failure. 

Please use https://github.com/ewanharris/titanium-mobile-mocha-suite/tree/TIMOB-24816 to find the related test
You can use https://github.com/ewanharris/mocha-test to quickly debug (most) mocha tests)",1,3,TIMOB-25132,8
Windows: Mocha test Titanium.UI.Layout centerYPrecedence test failure,"Titanium.UI.Layout centerYPrecedence please investigate the failure. 

Please use https://github.com/ewanharris/titanium-mobile-mocha-suite/tree/TIMOB-24816 to find the related test
You can use https://github.com/ewanharris/mocha-test to quickly debug (most) mocha tests)",1,7,TIMOB-25123,8
Windows: Mocha test Titanium.UI.Layout centerXPrecedence test failure,"Titanium.UI.Layout centerXPrecedence please investigate the failure. 

Please use https://github.com/ewanharris/titanium-mobile-mocha-suite/tree/TIMOB-24816 to find the related test
You can use https://github.com/ewanharris/mocha-test to quickly debug (most) mocha tests)",1,8,TIMOB-25122,8
Windows: Mocha test Titanium.UI.Layout undefinedTop test failure,"Titanium.UI.Layout undefinedTop please investigate the failure. 

Please use https://github.com/ewanharris/titanium-mobile-mocha-suite/tree/TIMOB-24816 to find the related test
You can use https://github.com/ewanharris/mocha-test to quickly debug (most) mocha tests)",1,3,TIMOB-25121,8
Windows: Mocha test Titanium.UI.Label height test failure,"Titanium.UI.Label height please investigate the failure. 

Please use https://github.com/ewanharris/titanium-mobile-mocha-suite/tree/TIMOB-24816 to find the related test
You can use https://github.com/ewanharris/mocha-test to quickly debug (most) mocha tests)",1,3,TIMOB-25119,5
Windows: Mocha test Titanium.UI.Label maxLines test failure,"Titanium.UI.Label maxLines please investigate the failure. 

Please use https://github.com/ewanharris/titanium-mobile-mocha-suite/tree/TIMOB-24816 to find the related test
You can use https://github.com/ewanharris/mocha-test to quickly debug (most) mocha tests)",1,4,TIMOB-25117,5
Windows: Mocha test Titanium.UI.Button border test failure,"Titanium.UI.Button border please investigate the failure. 

Please use https://github.com/ewanharris/titanium-mobile-mocha-suite/tree/TIMOB-24816 to find the related test
You can use https://github.com/ewanharris/mocha-test to quickly debug (most) mocha tests)",1,5,TIMOB-25102,5
iOS 11: Build warnings for legacy launch images using Xcode 9,"Using Xcode 9 Beta 4 and the latest iOS 11 Beta 4, I noticed a couple of warnings when running the iOS build on the packaged SDK:
{code}
[TRACE]     /Applications/Xcode9.app/Contents/Developer/usr/bin/actool --output-format human-readable-text --notices --warnings --export-dependency-info /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Intermediates/test_tmp.build/Debug-iphonesimulator/test_tmp.build/assetcatalog_dependencies --output-partial-info-plist /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Intermediates/test_tmp.build/Debug-iphonesimulator/test_tmp.build/assetcatalog_generated_info.plist --app-icon AppIcon --launch-image LaunchImage --compress-pngs --enable-on-demand-resources YES --filter-for-device-model iPhone9,2 --filter-for-device-os-version 11.0 --sticker-pack-identifier-prefix com.appcelerator.titanium.sticker-pack. --target-device iphone --target-device ipad --minimum-deployment-target 8.0 --platform iphonesimulator --product-type com.apple.product-type.application --compile /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/Assets.xcassets
[TRACE] 2017-07-26 22:15:27.815 ibtoold[4601:72299] CoreSimulatorService connection interrupted.  Resubscribing to notifications.
[TRACE] 2017-07-26 22:15:27.815 ibtoold[4601:72113] CoreSimulatorService connection interrupted.  Resubscribing to notifications.
[TRACE] 2017-07-26 22:15:27.815 ibtoold[4601:72297] CoreSimulatorService connection interrupted.  Resubscribing to notifications.
[TRACE] 2017-07-26 22:15:27.820 ibtoold[4601:72298] CoreSimulatorService connection interrupted.  Resubscribing to notifications.
[TRACE] 2017-07-26 22:15:27.820 ibtoold[4601:72113] CoreSimulatorService connection interrupted.  Resubscribing to notifications.
[TRACE] 2017-07-26 22:15:27.820 ibtoold[4601:72090] CoreSimulatorService connection became invalid.  Simulator services will no longer be available.
[TRACE] 2017-07-26 22:15:28.071 ibtoold[4601:72298] CoreSimulator detected Xcode.app relocation or CoreSimulatorService version change.  Framework path (/Library/Developer/PrivateFrameworks/CoreSimulator.framework) and version (494.4) does not match existing job path (/Applications/Xcode.app/Contents/Developer/Library/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/com.apple.CoreSimulator.CoreSimulatorService.xpc) and version (375.21).  Attempting to remove the stale service in order to add the expected version.
[TRACE] 2017-07-26 22:15:28.324 ibtoold[4601:72299] CoreSimulatorService connection became invalid.  Simulator services will no longer be available.
[TRACE] 2017-07-26 22:15:28.325 ibtoold[4601:72299] CoreSimulatorService connection became invalid.  Simulator services will no longer be available.
[TRACE] CoreUI(DEBUG): Current version = 483.0, Linked UIKit version = 65535, Compatibility mode = 9999
[TRACE] 2017-07-26 22:15:34.714 IBCocoaTouchImageCatalogTool[4607:72433] RPC shutdown with error: Error Domain=IBMessageChannelErrorDomain Code=4 ""Failed to communicate with Interface Builder"" UserInfo={NSLocalizedDescription=Failed to communicate with Interface Builder, NSLocalizedFailureReason=The agent crashed}
[TRACE] /* com.apple.actool.document.notices */
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/Assets.xcassets:./LaunchImage.launchimage/[iphone][736h][3x][portrait][full-screen][8.0]: notice: This launch image only applies to iOS 6.x and prior but the minimum deployment is 7.0 or later.
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/Assets.xcassets:./LaunchImage.launchimage/[iphone][736h][3x][landscape][full-screen][8.0]: notice: This launch image only applies to iOS 6.x and prior but the minimum deployment is 7.0 or later.
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/Assets.xcassets:./LaunchImage.launchimage/[iphone][667h][2x][portrait][full-screen][8.0]: notice: This launch image only applies to iOS 6.x and prior but the minimum deployment is 7.0 or later.
[TRACE] /* com.apple.actool.compilation-results */
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/AppIcon29x29@2x.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/AppIcon29x29@3x.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/AppIcon40x40@2x.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/AppIcon40x40@3x.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/AppIcon60x60@2x.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/AppIcon60x60@3x.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/AppIcon29x29~ipad.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/AppIcon29x29@2x~ipad.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/AppIcon40x40~ipad.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/AppIcon40x40@2x~ipad.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/AppIcon76x76~ipad.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/AppIcon76x76@2x~ipad.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/AppIcon83.5x83.5@2x~ipad.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/LaunchImage-800-Portrait-736h@3x.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/LaunchImage-800-Landscape-736h@3x.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/LaunchImage-800-667h@2x.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/LaunchImage-700@2x.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/LaunchImage-700-568h@2x.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/LaunchImage-700-Portrait~ipad.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/LaunchImage-700-Landscape~ipad.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/LaunchImage-700-Portrait@2x~ipad.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/LaunchImage-700-Landscape@2x~ipad.png
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Products/Debug-iphonesimulator/test_tmp.app/Assets.car
[TRACE] /Users/hknoechel/Documents/Apps/test_tmp/build/iphone/build/Intermediates/test_tmp.build/Debug-iphonesimulator/test_tmp.build/assetcatalog_generated_info.plist
{code}

Some of the warnings are pretty self-describing and seem to be easy to fix:
{quote}
This launch image only applies to iOS 6.x and prior but the minimum deployment is 7.0 or later.
{quote}
Another one might be related to an issue I discovered earlier, where the Simulator could not save the sim-state and force-quite-relaunches the Sim on every build, causing huge build delays (15+ seconds more):
{quote}
CoreSimulatorService connection became invalid.  Simulator services will no longer be available.
{quote}
We should investigate the warnings, fix the icon-generation for legacy sizes and ensure the generated project works correctly.",1,5,TIMOB-25029,5
Windows: Setting button.image to a blob crashes the app,"h5.Description

When setting the image property of a button to a blob the app will crash

{code}
 var win = Ti.UI.createWindow({
	 backgroundColor: 'blue'
 });
 var img = Ti.Filesystem.getFile('Logo.png').read();
 console.log(Ti.Filesystem.getFile('Logo.png').exists())
 var view = Ti.UI.createButton({ title: 'push button', image: img });
 win.add(view);
 win.open();
{code}

h5.Steps to reproduce

# Add the above code to an existing app.js
# Build for an existing target

h5.Actual

App crashes

h5.Expected

App should not crash",1,3,TIMOB-25014,5
