Bug text,Issue key,Story point
"Stap-prep needs full update and reboot PnT JIRA:
https://projects.engineering.redhat.com/browse/RHELPLAN-25210
",RHDEVDOCS-1368,2.0
"Please update CRW 1.2 / OSD 4 Instructions to reference needed namespace CRW did not allow installation on OpenShift Dedicated until recently, because the Operator was not available.  
Thanks to SREP-2230 [1], this is no longer true.  The Operator is available and is known to work.  There is a limitation, though.

Per SREP-2245 [2], the following restrictions exist:
- Installation should target the namespace `openshift-codeready-workspaces` for both the Operator and the Custom Resource 'CheCluster'.

Please update the CRW doc to reflect these restrictions.

[1] https://jira.coreos.com/browse/SREP-2230
[2] https://jira.coreos.com/browse/SREP-2245",RHDEVDOCS-1367,1.0
"[devtools] Implement new document structure in Pantheon and git (follow up on 1353)  !screenshot-1.png|thumbnail! = Mockup, docs are live, see 

https://access.redhat.com/documentation/en-us/red_hat_developer_tools/1/

TODO: (wip list)
- each toolset own section in splash page
- versioning of toolsets are kept in document title
-- TODO edit headings to contain versions

- for 2019.1 2019.2 2019.3 (last 3 versions) links are manually added into splash page manager

- each toolset should have it's own branch
-- llvm_<version>
-- rust_<version>
-- go_<version>
-- eclipse_<version>
and each toolset should have stage/prod branch as well, so we are talking about 3*4*2= 24 branches here

:prod-ver: has to be removed from compilers eventually. or edit from 20xx.x to respective compiler/eclipse version (+ add individual attribute file for each compiler (comp-ver is there though, investigate)

",RHDEVDOCS-1355,3.0
"[devtools] Implement temporary new document structure and publish 2019.4 eclipse content(tl;dr get rid of 20xx.x from documentation)  !screenshot-1.png|thumbnail! = Mockup

TODO: (wip list)
- 1 version of all compilers (like ""major version"" on splash page, see mockup)
-- this is done in ?
- each toolset own section in splash page
- versioning of toolsets are kept in document title
-- TODO edit headings to contain versions

- for 2019.1 2019.2 2019.3 keep the links, just publish 
-- how is this done?
- publish last 3 versions
- each toolset should have it's own branch
-- llvm_<version>
-- rust_<version>
-- go_<version>
-- eclipse_<version>
and each toolset should have stage/prod branch as well, so we are talking about 3*4*2= 24 branches here


:prod-ver: has to be removed from compilers eventually. or edit from 20xx.x to respective compiler/eclipse version (+ add individual attribute file for each compiler (comp-ver is there though, investigate)
--------------------------------------------------------------------------- ^^^^ Disregard, will be followed up in https://issues.jboss.org/browse/RHDEVDOCS-1355 ^^^^^ ---------------------------------
Primitive style:
Developer Tools 1:
- Get all urls for 3 versions of compilers/eclipse 
-- html, supplementary pdf/epub
- Add url and edit title + subtitle manually in Splash Page Manager
required links are here
https://docs.google.com/document/d/1TNBnv5BiUzT6WvzLQaHKdszAEQBzL6AjqvP4b6SuRgE/edit#
- test
- publish",RHDEVDOCS-1353,3.0
Fix Che 7 docs quick start redirects Fix https://github.com/che/issues/14446,RHDEVDOCS-1309,1.0
"Fix context attribute conflict in upstream Che docs The global 'context' attribute in upstream Che docs conflicts with the modular 'context' attribute, cayusing dupl. ID errors from Asciidoctor.

Rename the global attrib. to fix & modify all occurences of the attrib. in docs.",RHDEVDOCS-1078,1.0
Fix broken URLs in CodeReady Studio documentation ,RHDEVDOCS-1038,3.0
Fix typos in CodeReady Studio documentation There are a number of relatively small typos within the CodeReady Studio documentation identified by the translation team.,RHDEVDOCS-1037,3.0
"Wrong download link for Code ready Workspaces the link to download the tar.gz is broken from https://access.redhat.com/documentation/en-us/red_hat_codeready_workspaces_for_openshift/1.0.0/html-single/administration_guide/#downloading-the-codeready-workspaces-deployment-script
it is pointing to https://developers.redhat.com/download-manager/file/codeready-workspaces-operator-installer-1.0.0.GA.tar.gz

The working link is https://developers.redhat.com/download-manager/file/codeready-workspaces-1.0.0.GA-operator-installer.tar.gz
I got it from https://developers.redhat.com/products/codeready-workspaces/download/ ",RHDEVDOCS-954,1.0
"Fix Proxy Docs Currently, proxy docs are broken.

Passing proxy params to installer:

<existing docs section>: from config.yaml

If you need to use https proxy for workspace master, you need to use value of `KUBERNETES_SERVICE_HOST` variable in nonProxy property, e.g
  `-Dhttp.nonProxyHosts=172.30.0.1`
You can get `KUBERNETES_SERVICE_HOST` by running `env` in any container running in the cluster. 

No proxy java settings are required to bypass proxy when wsmaster is talking to Kube API",RHDEVDOCS-946,1.0
"CDK GSG shouldn't suggest sudo Section (1.3.3.) *Setting Up the xhyve Driver* uses instructions with ""sudo"". This should be changed to the root (#) prompt.

* RHEL doesn't have 'sudoers' set up out of the box, so the instructions wouldn't work on a vanilla installation.
* Because of ^, other DevTools docs use (or should) use just ""#"" to indicate that a command needs to be run with super-user privileges (leaving the method of gaining such rights to the user).",RHDEVDOCS-914,1.0
"Fix broken links and formatting in Using Eclipse The Using Eclipse documentation has a broken link guiding the user to the DTS User Guide. Related, the {{dts-ver}} attribute contains the full name ""Developer Toolset 7"" rather than including only the version number, causing improper command instructions.",RHDEVDOCS-879,1.0
"Update doc for enabling experimental oc cluster up flags for ocp v3.10.14 The experimental flag format has changed for ocp version 3.10 and onward. So it's good to add a example or in a note in doc [1] for those using ocp 3.10 would be helpful for example

NOTE :
Due to the change in the experimental clusterup flag in ocp 3.10, command for provisioning the service catalog will be 
{code}
$ MINISHIFT_ENABLE_EXPERIMENTAL=y minishift start --ocp-tag v3.10.14 --extra-clusterup-flags ""--enable=*,service-catalog""
{code}
[1] https://access.redhat.com/documentation/en-us/red_hat_container_development_kit/3.5/html-single/getting_started_guide/#enabling-experimental-oc-flags

cc_ [~lalatendum]
",RHDEVDOCS-820,1.0
"Add recommended VB version for VirtualBox Compatibility As devsuite is no longer exists, so we need to recommend CDK VirtualBox compatibility matrix. As per the latest 3.4 release doc [1] there is no particular recommended version instead a range of versions, however all the minishift testing for CDK 3.5 has been done on Virtualbox Version 5.2.12. So should we suggest a range of version including the tested VB version. For example 

Red Hat Container Development Kit 3.5 has been tested with VirtualBox 5.1.14 and higher (recommended Virtualbox 5.2.12), but is known to not work correctly with VirtualBox 5.1.11 or older. Ensure that you have VirtualBox 5.1.12 (recommended Virtualbox 5.2.12) or higher if you intend to use VirtualBox as your virtualization provider.  

[1] https://access.redhat.com/documentation/en-us/red_hat_container_development_kit/3.4/html/release_notes_and_known_issues/release_notes#virtualbox_compatibility 

[~lalatendum] Please add your valuable suggestion ",RHDEVDOCS-797,3.0
"Typo in CDK 3.1 known issues doc ""3.1.4. Don not use MINISHIFT_HOME folder for anything but CDK""

Obviously you could just change this to:

""3.1.4. Do not use MINISHIFT_HOME folder for anything but CDK""

But maybe you want to relabel this to something more descriptive and less proscriptive:

""3.1.4. MINISHIFT_HOME folder wiped on every `minishift setup-cdk` run""",RHDEVDOCS-539,1.0
"Misc. mistakes in devsuite RN * Don't use an article for product names, such as ""the CDK""; see https://mojo.redhat.com/docs/DOC-1088906
* Use double minus (""--"") to render as proper dashes.
* The following para is confusing and unclear:
   bq. Red Hat Development Suite 1.3 includes products such as Red Hat JBoss Developer Studio 10.3 and Red Hat Container Development Kit 2.4, as well as some dependencies for each of these products. One or more of the products that Red Hat Development Suite installs may require a separate Red Hat subscription. Development support for any of the installed products requires a relevant and active Red Hat subscription.
** It should say which products require what subscriptions
** It should be combined with the admonition that's right above it -- it's also about subscriptions. Perhaps a separate section with its own heading -- seeing as the subscriptions are such a confusing matter?
** Perhaps a table with all products and their resp[ective subscriptions?
* _""An Online Installer that is a 40 Mb download""_ -- it's not ""Mb"" but ""MB"".
* _""As a result, they must not be used in production environments.""_ That's not true. Ppl can use it anywhere they want, but they cannot expect RH support if something goes wrong.
* _""For more information on Red Hat Technology Preview features support scope, see http://access.redhat.com/support/offerings/techpreview/.""_ -- Don't use bare URLs -- use the page's title.
* _""3. What is new in Red Hat Development Suite?""_ -- Use capital case.
* _Red Hat Development Suite includes the following components:_"" -- There should be a version number behind the product name in this instance.
* _""When a component is selected or deselected for installation, it’s dependencies are automatically selected or deselected for installation. For example, when Red Hat Container Development Kit is selected for installation, it’s dependencies -Vagrant, Cygwin and Oracle Virtual Box are automatically selected for installation.""_ -- ""it's"" = ""it is""; ""its"" = possessive.
* _""Vagrant, Cygwin and Oracle Virtual Box""_ -- Always use serial comma.
* _""Vagrant, Cygwin and Oracle Virtual Box""_ -- Use correct product name: ""VirtualBox"".
* _""-Vagrant""_ -- Missing space after dash.
* _""Try the Red Hat Development Suite installer using the following instructions: Red Hat Development Suite 1.3 Installation Guide""_ -- Missing end-sentence period.
",RHDEVDOCS-386,1.0
"Document ""JBDS-4230"" - issue running devstudio 10.x on Fedora 25 w/ Wayland in 10.3 docs Document JBDS-4230 in 10.3 RNs and Install Guide (or where relevant)",RHDEVDOCS-353,3.0
"Action user comment -- devsuite RN link to docs stage Link in devsuite RN points to docs stage. Applies to both 10.1 and 10.2, so needs fixing ASAP.

See: http://post-office.corp.redhat.com/archives/devtools-docs/2016-December/msg00012.html

Tagging [~mhusnain] for awareness.",RHDEVDOCS-321,1.0
"Missing info about RPM install method in DevStudio RN As discussed during planning for RPM  install documentation, DevStudio 10.2 RN need to:

* include a mention of this new feature
* emphasize that it's a Tech Preview

It's not enough to have it in the IG. Stuff like this *must* by in RN.",RHDEVDOCS-318,1.0
"Write, approve docs for CDK 2.3 erratum https://errata.devel.redhat.com/docs/show/25760",RHDEVDOCS-300,3.0
In rhel 7.3 there is not yum-config-manager command in rhel 7.3 there is not yum-config-manager command present from clean install and one needs to install yum-utils,RHDEVDOCS-299,1.0
"Link to specific version of CDK from Install. Guide Link from CDK IG needs to point to a specific CDK version on CP product download page.

Also, there's a bug on the CP thaty creates a non-existent CDK version (10.0) in the list of versions.

Tasks:

* fix links in IG
* file bug against the CP",RHDEVDOCS-296,3.0
"Fix mark-up & formatting in CDK GSG (reg. plugin) Section ""Automating the Registration Process (Saving Your Credentials)""",RHDEVDOCS-285,1.0
"Insecure instructions in CDK IG (gpgcheck) Section ""5.2.1.1. Registering a Red Hat Enterprise Linux System and Enabling Repositories"" notes that to install Vagrant, you must use a CentOS repo over an insecure protocol (HTTP) and on top of that disable GPG check:

https://access.redhat.com/documentation/en/red-hat-container-development-kit/2.2/paged/installation-guide/chapter-5-installing-container-development-kit-on-red-hat-enterprise-linux#registering_a_red_hat_enterprise_linux_system_and_enabling_repositories

This is strange since the packages are definitely signed:

$ rpm -qpi http://mirror.centos.org/centos-7/7/sclo/x86_64/sclo/vagrant1/sclo-vagrant1-vagrant-1.8.1-7.el7.noarch.rpm 2> /dev/null |grep -i Signature
Signature   : RSA/SHA1, Wed 24 Aug 2016 03:40:26 PM CEST, Key ID 4eb84e71f2ee9d55

Can the docs be corrected please to remove the step to disable 'gpgcheck'? Also, maybe it's worth researching if there is a way to get the package over HTTPS.

------------------

https://bugzilla.redhat.com/show_bug.cgi?id=1391414",RHDEVDOCS-274,3.0
"Remove Landrush  plugin from screenshot On page : https://access.redhat.com/documentation/en/red-hat-container-development-kit/2.2/single/release-notes-and-known-issues/
section : 2.4.2. Unified Vagrantfiles for All Hypervisors
Remove Landrush plugin from list because its not going in 2.2.
  ",RHDEVDOCS-219,1.0
"Null in Introduction section In ""Introduction"" section of page[0] is ""null"".

[0] https://access.redhat.com/documentation/en/red-hat-jboss-developer-studio/?version=10.1/",RHDEVDOCS-215,1.0
"Recommended Docker version with bad API version In chapter 6.2. Learning about the Docker Environment text says that actual version of Docker at CDK 2.2 is 1.9.1 with API 1.21. But in CDK 2.2 the version of Docker is actually 1.10.3. with API version 1.22. This leads to potential incompatibility between Host's and Client's Docker.

Despite that basic Docker commands like version, pull, ps etc. presented in Getting Started guide works properly. However this API incompatibility can cause problems in future and lower user experience.",RHDEVDOCS-193,1.0
"Improve devsuite inst doc Please, modify the devsuite IG to make it less confusing. Currently, the guide tells users to install devstudio through devsuite [1], which is inconsistent with the rest of the doc, which talks about installing or uninstalling devsuite.

In other words, we should stop referring to devsuite as an 'installer' and start treating it as a regular product. So, instead of saying ""use the devsuite installer to install devstudio and CDK"", we should say ""install devsuite"".

Thanks to Mike Guerette for pointing this out.",RHDEVDOCS-190,3.0
"Bad path for CDK Vagrant box According to 3.4.2. of Installation Guide Vagrant boxes should be at %USERPROFILE%\cdk\components\rhel\misc\shared_folder\rhel-ose\ and %USERPROFILE%\cdk\components\rhel\misc\shared_folder\rhel-k8s-singlenode-setup\.

Real location is however: %USERPROFILE%\cdk\components\rhel\rhel-ose\ and %USERPROFILE%\cdk\components\rhel\misc\rhel-k8s-singlenode-setup\. ""shared_folder"" is no longer in path of boxes, so they moved one level down in hierarchy.

(Could be also an issue in 3.4.1. for HyperV.)",RHDEVDOCS-187,1.0
Fix getting started docs heading hierarchy SSIA,RHDEVDOCS-172,5.0
Fix bugs in all the e2e tests for raincatcher to see what needs to be fixed Try to run all the e2e tests in raincatcher-angularjs repo to see what needs to be fixed.,RAINCATCH-1253,8.0
"Missing repository for step example (containing copy of existing step) Create new repository for step example (containing copy of existing step).
We will need to point to example step in documentation.
Example accident step will be good. 
Additional task will be to update this repository on release.
(Change scripts to publish example)",RAINCATCH-1244,3.0
"Closed workflows should disappear from the mobile application h3. 

Most of the field workers doesn't need to interact with the finished workorders.
Finished workorders should disappear from mobile application.
We may allow operators to see historical results as separate view etc.

h4. How

We will need to adjust sync query filter to return only active workorders",RAINCATCH-1180,3.0
"[Security] Sessions should use redis Passport.js session configuration currently holding session information in memory.
When application is restarted all sessions are removed. 
We should move session configuration to redis


ping [~jameelb]",RAINCATCH-1176,5.0
"Selecting workorder in portal refresh entire workflow, results data h4. Motivation

Improve how we requesting specific data for workflows and results

h4. Description of the problem

When selecting workorder in portal implementation is making requests for entire workflows and results. 
This it's not efficient as we just need only single result and workflow.
Additionally user interface flashes which looks like entire UI is being rebuild when selecting this object.
http://www.giphy.com/gifs/26BncXcM0ddP1yw0w",RAINCATCH-1169,5.0
"Create info message for incorrect credentials for demo server login screen h2. What?
info message to render on screen for incorrect credentials used on demo server login screen

h2. Why?
incorrect credentials just redirect to the login screen with no information for the user . This is a poor UX.
",RAINCATCH-1051,3.0
Simple doList(endpoint calls) are increasing times from few ms up to 80secs during performance tests Timeboxed to 2 days.,RAINCATCH-1024,8.0
"[BLOCKER] - The Keycloak JS Adapter Contains Bugs Affecting Offline Access & Mobile Auth *What*

The Keycloak JS Adapter is currently experiencing some issues:
# The 'login-required' value passed to the onLoad function in a Keycloak.init() causes an application to constantly refresh the view after authentication. This appears to be related to a Keycloak iframe crashing.
# Manually calling the login() action (required for offline login) is also causing some auth issues.",RAINCATCH-880,8.0
"Intermittent unexpected null in raincatcher load test scripts When we run load tests using the [raincatcher-demo-load-testing scripts|https://github.com/feedhenry-raincatcher/raincatcher-demo-load-testing], we sometimes see the following error:

{code}
[TypeError: Cannot read property 'id' of null]
{code}

We believe this to be an issue with the scripts, but the underlying cause is probably something unexpected being returned from the cloud app.

Our current thinking is that it's either the {{GET /api/wfm/user}} [here|https://github.com/feedhenry-raincatcher/raincatcher-demo-load-testing/blob/master/scripts/mobile-flow.js#L46], or a {{syncRecords}} call gets some response that [doesn't have the expected shape|https://github.com/feedhenry-raincatcher/raincatcher-demo-load-testing/blob/master/util/syncDataset.js#L7..L8].

Our experience with this issue has been that it's usually rare and difficult to reproduce.",RAINCATCH-814,2.0
"Hashed User Passwords are Recoverable in the Portal UI *What*
Hashed User passwords are recoverable through the Portal UI. 

*Why*
Plaintext or hashed passwords should not be shown in the UI.

*How*
The password field should be empty or display 10 asterisks or similar. The password value should have an on-change listener so new passwords values can be entered and then saved. Furthermore, it would be better if the password was not returned from the database on a user read.",RAINCATCH-701,3.0
"Login Bypass in the Demo Mobile App *What*
It is possible to get past the login screen of the mobile app and access other views in the app, despite the user profile data in localstorage being encrypted. An attacker can use a fake session key and get the SHA256 of the key, and then encrypt some profile data object using AES (with the SHA256 of the session key) to generate ciphertext that won't crash the application, and will allow unauthorized access.

_Steps to Reproduce_
Open up the Mobile App in a browser and run the following in the console.

{code:java} 
localStorage.setItem(""fh.wfm.profileData"", ""U2FsdGVkX18xK4ooadn3fC/ltQMZ/kYVhV9eAXY7cRVl4Gdmw5b0/026yp2qfCzEir9glqR7kCgAHldcIRZAHbYwS/EkerEL/kz7qnd4JqkR5f5CXopsYTFiRZxzmzmN3Yu0DtCpRYKe6ZaV0sLHlrNpbPub69tOiVRymt/GJAe6uTvbEhsoQU6MIAayuIvGgT6/W/hA/GnYmX/25qtoFBRwa8SCu+9Tz3JzgrCP2UtLTrWtpLBE43VTVQhoJTaOER8qyM/R4bXMlh/qn+YndaNEHiHZ+eZ5erJkccDEoy+RzqtOyn/rWSwYNDFL3dbFeNZneamkozqhBW6F8Kg9+JkP23BssVLBcaoE+S6Mqbr5ikkoB5UCsHt85wLBsT14mYDI94P+poxc72hpfRzakMlq0WdfaB53FFVfAxvKBZmYYsxfU1QEnXICSbtycuyMZnsuZYLwsfa0rYj5GbeicA=="");
localStorage.setItem(""fh_session_token._index_"", '[""fh_session_token.sessionToken""]'); 
localStorage.setItem(""fh_session_token.sessionToken"", '{""sessionToken"":""123""}'); 
{code} 

Change the url to point from `/login` to any of the following, you might need to hit enter twice in the address bar in your browser. 
* /settings. 
* /files - form here upload a file, check the portal app for the file to see that it got uploaded. 

*How*
We should check that the session token is valid on all routes in the mobile application before proceeding to render that view. 

The verify session endpoint already exists in the user module, we will need to use this function to check if the session token is valid.

",RAINCATCH-657,5.0
"Mitigate Vulnerable QS Dependency in Demo Apps and Modules *What*
[Vulnerability Description|https://snyk.io/vuln/npm%3Aqs%3A20170213?utm_campaign=vuln_alert&utm_medium=email&utm_source=Vuln]

*Why*
To mitigate a vulnerability marked as _High Severity_ by Snyk/NSP.

*How*
Upgrade qs to version 6.4.0 or higher.

3rd Party Module Fix Status
(/) *request* - 2.81.0
(/) *express* - 4.15.2
(/) *body-parser* - 1.17.1
(/) *multer* - 1.0.0

Feedhenry Components Fix Status
(/) fh-mbaas-client - 0.16.5 
(/) fh-mbaas-express - 5.6.10
(/) fh-reporting-client - 0.5.5
(/) fh-mbaas-api - 6.1.8

Aerogear Components Fix Status
(/) unified-node-sender - 0.12.1

Raincatcher Demo Apps Fix Status
(/) raincatcher-demo-portal
(/) raincatcher-demo-auth
(/) raincatcher-demo-cloud
(/) raincatcher-demo-mobile

Raincatcher Modules Fix Status
(/) raincatcher-file - 0.1.1
(/) raincatcher-file-angular - Part of wtrocki's PR
(/) raincatcher-message - 0.1.1
(/) raincatcher-push - 0.0.13
(/) raincatcher-result - 0.2.1
(/) raincatcher-risk-assessment - 0.0.17
(/) raincatcher-store-simple - 0.2.1
(/) raincatcher-user - 0.5.2
(/) raincatcher-vehicle-inspection - 0.0.15
(/) raincatcher-workflow - 0.2.1
(/) raincatcher-workorder - 0.2.1
(/) raincatcher-workorder-angular - 0.2.1

Paths marked below in *bold* are root paths that should be fixed first, these will then fix a large number of vulnerable paths going up the dependency tree.

_How to Retest_

Run `snyk test` inside a node module.
",RAINCATCH-603,5.0
"mediator.Topics: handlers don't allow async operations with custom publishing The Topics utilities in the mediator don't allow for async operations followed by a custom publishing of the result since it expects a promise to be returned and to supply the result of the operation so it can be published to the conventional 'done:' prefixed topic.

Currently when no value is returned from a handler the 'done:' topic is still published to but with undefined as a value.

Examples:


{code:java}
topics.prefix('wfm').entity('user')
// this works
.on('list', function() {
  // The following should return a Promise
  // result gets published to done:wfm:user:list
  return getAllAsync(this.entity);
})
// this doesn't
.on('delete', function(id) {
  // note this Promise isn't returned since we want to publish to somewhere else
  deleteAsync(this.identity, id).then(function() {
    topics.mediator.publish('some:other:topic', id);
  })
})
{code}
",RAINCATCH-530,3.0
"User Read from Database returns Password/Sensitive Data - Exposed in the Mobile App *What*
The full user profile data is being returned in the receiver object for a message in the mobile client and portal app. This is also being stored in *plaintext* on the mobile device.

Eg. in records.dataset_messages, 

{code:java}
{""val"":{""data"":{""SyczAi2vne"":{""hash"":""80bb9612508761d880e6127da33bedd725e9feef"",""data"":{""id"":""SyczAi2vne"",""receiverId"":""HJ8QkzOSH"",""status"":""unread"",""sender"":{""avatar"":""https://s3.amazonaws.com/uifaces/faces/twitter/kolage/128.jpg"",""name"":""Trever Smith""},""subject"":""Adress change w41"",""content"":""hallo hallo""}},""SJgSS23D3g"":{""hash"":""044f5e44a05aca8014e08a7e309520ed17e3f0d0"",""data"":{""receiver"":{""id"":""rJeXyfdrH"",""username"":""daisy"",""name"":""Daisy Dialer"",""position"":""Junior Dispatcher"",""phone"":""(265) 754 8176"",""email"":""daisy@wfm.com"",""avatar"":""https://s3.amazonaws.com/uifaces/faces/twitter/madysondesigns/128.jpg"",""password"":""sha1:10000:b959c88175571352c29e1e5701e587650117e20387711cd73b66366c321d361e001a51ad1c3f8b996aece681564185749f6a959e21ce7d95970dabde8b1ec82b2ace91ba368d463ebe92d1d7ec96b0d748207bbbed88b460c702131d2765de5b19c607892bd176e218c03095956d98881be5d4fe0630654c5289e7b022b6bb487c5fce0d548ac654b071301c88f2505375c110b516e25f7ccf10bc3df1624049e3008bc68ad15827eb841ae2be17855e53c2f9a6e7d575cc2b7534b10583dca3e11f020e979fd0552c76cd2cbead600abd7fb8a6619da2ecdbfbf81e518adef6c94b5521c5c4a41a14c02b9ed5619bd5fcf75c733c318356ccea74a10f9c6a4a:10c2bb710af17f75b73faf35d33874587b44bd3017e02a87a5bff57621d7a019558a660fc4a9ed476745db9812f27199fa0f8ffc3ea2dc3c5bca08913abd967c""}}
{code}



*Why*
The password from the database and other sensitive information about the user is being returned.

*How*
Ensure that database reads of a user do not return the users password.",RAINCATCH-513,5.0
"Vulnerable Angular Version Dependency *What*
The library angularjs version 1.5.3 has known security issues.

*Why*
The angularjs library is vulnerable to arbitrary code execution by allowing access to the constructors.

*How*
- Update to a newer version of Angular with no known security vulnerabilities. 
- Verify that the portal and mobile apps still work correctly.",RAINCATCH-408,8.0
Date and time pickers are not working when creating/editing workorder in Firefox Finish date and finish time fields have date/time pickers in Chrome.,RAINCATCH-12,5.0
Forms section of portal doesn't work in Firefox The whole section/area of the portal doesn't work in Firefox.,RAINCATCH-11,40.0
Timetable on the Scheduler page overflows in Firefox There is a scrollbar displayed in Chrome for the same timetable.,RAINCATCH-10,5.0
"When camera is blocked, the application allows users to upload a blank picture (Mobile client) h3. Why
In mobile client, one is still allowed to upload a blank/empty picture when camera is disabled. At least in the browser.

h3. Desired Solution
Prevent client to submit a blank picture, optionally also add this as server-side validation.

h3.

- Update the [camera module|https://github.com/feedhenry-raincatcher/raincatcher-camera/blob/master/lib/angular/directive.js#L68] to reject the promise if there is an error.",RAINCATCH-9,5.0
"Photo capture field doesn't show name (mobile client) A user can specify a *name* property when defining forms that is supposed to be shown with the field. It is currently not shown in the mobile client.

We are currently showing the field type in place of the name.  The property displayed in the directive template needs to be changed.",RAINCATCH-8,3.0
"Can not build wfm-mobile for ios locally When trying to build wfm-mobile for ios, the build failed. I used wfm-mobile release v2.0.0-alpha.3. To be able to 'cordova platform add ios' I had to delete hooks/before_platform_add/010_create_platform_dir and change permissions for hooks/after_prepare/010_add_platform_class.js. Build log: https://gist.github.com/jhellar/bccc069a56fe2994914b84ed2809bd6c",RAINCATCH-6,5.0
"Mobile client will crash on connectivity change in Android When connectivity changes, the mobile client crashes. It will also crash right from the start when the phone is offline.

{code}
FATAL exception/crash

04-21 14:47:24.014 32120 32120 D NetworkChangeNotifierAutoDetect: Network connectivity changed, type is: 6
04-21 14:47:24.015 12401 12401 E AndroidRuntime: FATAL EXCEPTION: main
04-21 14:47:24.015 12401 12401 E AndroidRuntime: Process: com.redhat.demo.wfm, PID: 12401
04-21 14:47:24.015 12401 12401 E AndroidRuntime: java.lang.RuntimeException: Error receiving broadcast Intent { act=android.net.conn.CONNECTIVITY_CHANGE flg=0x4000010 (has extras) } in org.apache.cordova.networkinformation.NetworkManager$1@c79b3a3
04-21 14:47:24.015 12401 12401 E AndroidRuntime: 	at android.app.LoadedApk$ReceiverDispatcher$Args.run(LoadedApk.java:891)
04-21 14:47:24.015 12401 12401 E AndroidRuntime: 	at android.os.Handler.handleCallback(Handler.java:739)
04-21 14:47:24.015 12401 12401 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:95)
04-21 14:47:24.015 12401 12401 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:148)
04-21 14:47:24.015 12401 12401 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:5417)
04-21 14:47:24.015 12401 12401 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
04-21 14:47:24.015 12401 12401 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:726)
04-21 14:47:24.015 12401 12401 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:616)
04-21 14:47:24.015 12401 12401 E AndroidRuntime: Caused by: java.lang.NullPointerException: Attempt to invoke virtual method 'java.lang.String android.net.NetworkInfo.getExtraInfo()' on a null object reference
04-21 14:47:24.015 12401 12401 E AndroidRuntime: 	at org.apache.cordova.networkinformation.NetworkManager.getConnectionInfo(NetworkManager.java:201)
04-21 14:47:24.015 12401 12401 E AndroidRuntime: 	at org.apache.cordova.networkinformation.NetworkManager.updateConnectionInfo(NetworkManager.java:171)
04-21 14:47:24.015 12401 12401 E AndroidRuntime: 	at org.apache.cordova.networkinformation.NetworkManager.access$000(NetworkManager.java:38)
04-21 14:47:24.015 12401 12401 E AndroidRuntime: 	at org.apache.cordova.networkinformation.NetworkManager$1.onReceive(NetworkManager.java:110)
04-21 14:47:24.015 12401 12401 E AndroidRuntime: 	at android.app.LoadedApk$ReceiverDispatcher$Args.run(LoadedApk.java:881)
04-21 14:47:24.015 12401 12401 E AndroidRuntime: 	... 7 more
{code}",RAINCATCH-5,40.0
"Photo cannot be captured through Photo capture field on device (Android, mobile client) When trying to submit a form including a taken picture, following error is thrown:
{code}
04-21 13:35:30.700  7580  7580 I chromium: [INFO:CONSOLE(29)] ""Error: Error: Expected base64 string image or file URI but parameter was not a string
04-21 13:35:30.700  7580  7580 I chromium:     at file:///android_asset/www/app/bundle.js:577:17
04-21 13:35:30.700  7580  7580 I chromium:     at s (file:///android_asset/www/app/vendor.js:30:3068)
04-21 13:35:30.700  7580  7580 I chromium:     at file:///android_asset/www/app/vendor.js:30:3240
04-21 13:35:30.700  7580  7580 I chromium:     at p.$eval (file:///android_asset/www/app/vendor.js:30:10757)
04-21 13:35:30.700  7580  7580 I chromium:     at p.$digest (file:///android_asset/www/app/vendor.js:30:9265)
04-21 13:35:30.700  7580  7580 I chromium:     at file:///android_asset/www/app/vendor.js:30:10844
04-21 13:35:30.700  7580  7580 I chromium:     at i (file:///android_asset/www/app/vendor.js:28:22565)
04-21 13:35:30.700  7580  7580 I chromium:     at file:///android_asset/www/app/vendor.js:28:24021"", source: file:///android_asset/www/app/vendor.js (29)
{code}

This error is likely caused by the in-browser and on-device image formats (base64 vs. File API).  Some digging in will be required to isolate the source of the error.
",RAINCATCH-4,8.0
"When photo is not submitted for Photo capture field, summary shows ""photo"" text The correct behaviour should be to display a blank image or nothing.

This happens in mobile client and in portal.",RAINCATCH-3,3.0
CS-D: Loss of incremental performance when using multiple groupBy() in one constraint PLANNER-2003 made significant improvements to constraints where only one groupBy() is used. The goal of this issue is to replicate the same for less utilized cases where more than 1 groupBy() is used within a single constraint.,PLANNER-2163,13.0
"CS-D: Loss of incremental performance when using groupBy() In some OptaPlanner examples, we have seen major performance degradation when switching to Constraint Streams. (As much as 95 % of DRL performance can be lost.) This has been shown to come from the way that the groupBy() building block is implemented using Drools.

The problem gets progressively worse with bigger data sets, clearly pointing to a scalability issue.

The solution is to redesign the CS-D implementation to handle groupBy() more efficiently. More specifically, the use of more than one from() DRL statement needs to be avoided.

Some more information can be found in the following working document:

https://docs.google.com/document/d/1s4pMSN3qLO5LLE7PeMAwj5RQfpzvu8wkqj_t5jB3cEc/edit",PLANNER-2003,2.0
