Bug text root form,Issue key,Story point
"error updat titanium sdk studio window os an error shown sdk updat process via studio . step reproduc : 1 . open appc studio window os 2 . go help - > check appceler updat 3 . when prompt sdk updat , select instal sdk updat actual result : an error shown process relat access ti.cloudpush modul . the updat sdk version otherwis get instal . check screenshot . also studio log : { code } ! messag error encount updat ! subentri 1 com.aptana.cor 4 4 2017-07-17 12:26:42.485 ! messag could write file : c : \programdata\titanium\modules\android\ti.cloudpush\4.0.3\example\app.j . ! stack 1 org.eclipse.core.runtime.coreexcept : could write file : c : \programdata\titanium\modules\android\ti.cloudpush\4.0.3\example\app.j . org.eclipse.core.internal.filesystem.policy.error ( policy.java:55 ) org.eclipse.core.internal.filesystem.local.localfile.openoutputstream ( localfile.java:406 ) org.eclipse.core.filesystem.provider.filestore.copyfil ( filestore.java:221 ) org.eclipse.core.filesystem.provider.filestore.copi ( filestore.java:143 ) org.eclipse.core.internal.filesystem.local.localfile.copi ( localfile.java:117 ) com.aptana.core.util.ioutil.copydirectori ( ioutil.java:351 ) com.aptana.core.util.ioutil.copydirectori ( ioutil.java:322 ) com.aptana.core.util.ioutil.copydirectori ( ioutil.java:322 ) com.aptana.core.util.ioutil.copydirectori ( ioutil.java:322 ) com.aptana.core.util.ioutil.copydirectori ( ioutil.java:322 ) com.aptana.core.util.ioutil.copydirectori ( ioutil.java:322 ) com.aptana.core.util.ioutil.copydirectori ( ioutil.java:322 ) com.aptana.core.util.ioutil.copydirectorywithprogress ( ioutil.java:197 ) com.appcelerator.titanium.update.core.titaniumupdaterutil.unpacksdk ( titaniumupdaterutil.java:59 ) com.appcelerator.titanium.update.core.titaniumupdaterutil.installsdk ( titaniumupdaterutil.java:104 ) com.appcelerator.titanium.update.core.release.titaniumsdkrelease.installsdk ( titaniumsdkrelease.java:310 ) com.appcelerator.titanium.update.core.release.titaniumsdkrelease.instal ( titaniumsdkrelease.java:188 ) com.appcelerator.titanium.update.internal.core.titaniumreleasesupdater.installtitaniumupd ( titaniumreleasesupdater.java:443 ) com.appcelerator.titanium.update.internal.core.titaniumreleasesupdater.access $ 1 ( titaniumreleasesupdater.java:399 ) com.appcelerator.titanium.update.internal.core.titaniumreleasesupdat $ 6.run ( titaniumreleasesupdater.java:1080 ) org.eclipse.core.internal.jobs.worker.run ( worker.java:54 ) caus : java.io.filenotfoundexcept : c : \programdata\titanium\modules\android\ti.cloudpush\4.0.3\example\app.j ( access deni ) java.io.fileoutputstream.open0 ( nativ method ) java.io.fileoutputstream.open ( unknown sourc ) java.io.fileoutputstream. < init > ( unknown sourc ) org.eclipse.core.internal.filesystem.local.localfile.openoutputstream ( localfile.java:397 ) ... 19 ! subentri 2 org.eclipse.core.filesystem 4 272 2017-07-17 12:26:42.754 ! messag could write file : c : \programdata\titanium\modules\android\ti.cloudpush\4.0.3\example\app.j . ! stack 0 java.io.filenotfoundexcept : c : \programdata\titanium\modules\android\ti.cloudpush\4.0.3\example\app.j ( access deni ) java.io.fileoutputstream.open0 ( nativ method ) java.io.fileoutputstream.open ( unknown sourc ) java.io.fileoutputstream. < init > ( unknown sourc ) org.eclipse.core.internal.filesystem.local.localfile.openoutputstream ( localfile.java:397 ) org.eclipse.core.filesystem.provider.filestore.copyfil ( filestore.java:221 ) org.eclipse.core.filesystem.provider.filestore.copi ( filestore.java:143 ) org.eclipse.core.internal.filesystem.local.localfile.copi ( localfile.java:117 ) com.aptana.core.util.ioutil.copydirectori ( ioutil.java:351 ) com.aptana.core.util.ioutil.copydirectori ( ioutil.java:322 ) com.aptana.core.util.ioutil.copydirectori ( ioutil.java:322 ) com.aptana.core.util.ioutil.copydirectori ( ioutil.java:322 ) com.aptana.core.util.ioutil.copydirectori ( ioutil.java:322 ) com.aptana.core.util.ioutil.copydirectori ( ioutil.java:322 ) com.aptana.core.util.ioutil.copydirectori ( ioutil.java:322 ) com.aptana.core.util.ioutil.copydirectorywithprogress ( ioutil.java:197 ) com.appcelerator.titanium.update.core.titaniumupdaterutil.unpacksdk ( titaniumupdaterutil.java:59 ) com.appcelerator.titanium.update.core.titaniumupdaterutil.installsdk ( titaniumupdaterutil.java:104 ) com.appcelerator.titanium.update.core.release.titaniumsdkrelease.installsdk ( titaniumsdkrelease.java:310 ) com.appcelerator.titanium.update.core.release.titaniumsdkrelease.instal ( titaniumsdkrelease.java:188 ) com.appcelerator.titanium.update.internal.core.titaniumreleasesupdater.installtitaniumupd ( titaniumreleasesupdater.java:443 ) com.appcelerator.titanium.update.internal.core.titaniumreleasesupdater.access $ 1 ( titaniumreleasesupdater.java:399 ) com.appcelerator.titanium.update.internal.core.titaniumreleasesupdat $ 6.run ( titaniumreleasesupdater.java:1080 ) org.eclipse.core.internal.jobs.worker.run ( worker.java:54 ) { code }",TISTUD-8823,8
"port 8080 remain block even termin arrow app run local server * descript * in studio , termin arrow app run local server , kill process associ app . specif , port 8080 releas , tri run arrow app second time , error print consol , app run . the configur arrow `` run arrow default configur '' . thi occur studio . for cli , local server termin ctrl-c , app run local server . thi issu seen window mac . * step reproduc * 1 . creat new arrow app studio . 2 . make sure configur set `` run arrow default configur '' . 3 . run arrow app local server . thi run fine . 4 . click red button bottom left termin execut . 5 . run app local server . * result * error print consol . sometim say port 8080 avail , time print `` oper permit '' . in order unblock port , i need go command line kill process match `` 8080 '' process name . * expect result * when app termin , kill associ process . it necessari go command line kill . therefor arrow app run second time , error . on cli , problem seen .",TISTUD-8778,8
"io debugg : jscore : debugg connect devic alloy/class app * descript * : while attempt debug alloy app devic jscore set true , studio wait app launch , howev , even app launch , studio acknowledg continu wait . updat 11/8/2016 : also tri classic app , issu observ . * step reproduc * : 1 . creat default alloy app replac index.j code includ breakpoint test . 2 . debug app use io devic . both host devic network . * result * : 1 . app appear io devic . 2 . after launch app , appropri button seen tap , alert shown expect . 3 . in studio , pop-box show current statu build stuck `` launch app devic '' * expect result * : 1 . studio detect app launch , subsequ continu debug process . * code * // index.j function doclick ( e ) { alert ( ) ; } var = 'hello ' ; $ .index.open ( ) ; { code } { code }",TISTUD-8648,8
"io debugg : jscore : debug io ignor breakpoint devic * descript * when app debug io devic , execut complet without stop break point . the issu occur < use-jscore-framework > true . on simul , app halt breakpoint . * step reproduc * 1 . creat classic app , insert breakpoint . 2 . build debug io devic . 3 . observ app execut without halt break point . * result * the app halt break point . * expect result * the app stop breakpoint . * sampl code * the bug discov execut test . thi code run ( note 2 file ) : { code } // app.j console.log ( 'consol log ' ) ; console.log ( [ 'consol log ' , 'arg1 ' , 'arg2 ' ] ) ; console.debug ( 'consol debug ' ) ; console.debug ( [ 'consol debug ' , 'arg1 ' , 'arg2 ' ] ) ; ti.api.info ( 'ti.include.module.j ' ) ; //breakpoint ti.includ ( 'module.j ' ) ; ti.api.info ( 'require.modul ' ) ; //breakpoint requir ( 'modul ' ) ; // the follow code content module.j : var = 1 ; ti.api.info ( ' a=1 ' ) ; var b = 2 ; ti.api.info ( ' b=2 ' ) ; var c = 3 ; ti.api.info ( ' c=3 ' ) ; { code }",TISTUD-8636,8
"io debugg : jscore : debug io breaks/halt first line app.j even without breakpoint when app debug io simulator/devic , breaks/halt first line app.j ( classic alloy app ) even breakpoint ad file . * the issu occur < use-jscore-framework > true * the issu occur alloy classic app step to reproduc : 1 . creat default classic alloy app 2 . add breakpoint anywher except first line app.j / add breakpoint index.j alloy app 3 . debug io sim devic actual result : the debugg hit first line app.j ( classic alloy app ) even though breakpoint line . in case alloy app click resum show sourc found henc debug block . expect result : the debugg hit line breakpoint . if breakpoint run without stop particular line",TISTUD-8635,5
"io debugg : jscore : npe click debug control button debug termin while debug app click termin debug button . the debug control like resume/paus step button still remain enabl . click give null pointer except * the issu occur < use-jscore-framework > true * the issu occur alloy classic app step reproduc : 1 . creat new project 2 . add breakpoint 3 . debug project io simul 4 . dure debug process , click termin button termin debug . 5 . click enabl debug control button like resume/paus actual result : an except shown . follow studio log { code } ! messag an intern error occur : `` execut debug command '' . ! stack 0 java.lang.nullpointerexcept com.axway.inspector.protocol.internal.inspector.sendcommandasync ( inspector.java:263 ) com.axway.inspector.protocol.internal.inspector.sendcommandasync ( inspector.java:257 ) com.axway.inspector.debugger.internal.debugger.stepinto ( debugger.java:167 ) com.appcelerator.titanium.ios.core.launching.debug.jscthread.stepinto ( jscthread.java:97 ) com.appcelerator.titanium.ios.core.launching.debug.jscstackframe.stepinto ( jscstackframe.java:92 ) org.eclipse.debug.internal.core.commands.stepintocommand.step ( stepintocommand.java:32 ) org.eclipse.debug.internal.core.commands.stepcommand.doexecut ( stepcommand.java:36 ) org.eclipse.debug.core.commands.abstractdebugcommand $ 1.run ( abstractdebugcommand.java:225 ) org.eclipse.core.internal.jobs.worker.run ( worker.java:54 ) { code }",TISTUD-8612,5
io debugg : jscore : debug io simul first time hang splash screen when app debug io simul first time hang splash screen . again tri debug simul work success breakpoint hit . * the issu occur < use-jscore-framework > true * the issu occur alloy classic app step to reproduc : 1 . creat new project 2 . add breakpoint 3 . debug project io simul 4 . termin debug process debug project simul actual result : after step3 : the app get stuck splash screen breakpoint hit . follow except shown studio log : { code } ! messag ( build 4.9.0.201609281711 ) [ error ] unabl find applic list applic . ! stack 0 com.axway.inspector.protocol.inspectorexcept : unabl find applic list applic . com.axway.inspector.protocol.internal.inspector.handleconnectedapplicationlist ( inspector.java:590 ) com.axway.inspector.protocol.internal.inspector.messagereceiv ( inspector.java:319 ) com.axway.inspector.protocol.internal.inspectorreader.run ( inspectorreader.java:60 ) java.lang.thread.run ( thread.java:745 ) { code } after step4 : on second time tri debug breakpoint hit success app debug . expect result : should abl debug app time debug process ran .,TISTUD-8611,8
io debugg : jscore : variabl shown variabl window debug io simul when debug io simul variabl window show variabl except `` _proto_ '' variabl * the issu occur < use-jscore-framework > true * the issu occur alloy classic app step reproduc : 1 . creat new project 2 . add breakpoint 3 . debug project io simul actual result : the variabl window whole debug process show one variabl `` _proto_ '' expect result : the variabl window show relev variabl,TISTUD-8609,8
"[ `` expect ' ) ' '' , '' '' ,1 ] dev toolbox consol launch unsur 's trigger , i saw dev toolbox consol launch studio",TISTUD-7905,5
tiapi : add util.getsystemerrornam ( ) shim add equival implement node.j ' { { util.getsystemerrornam ( ) } } method : http : //nodejs.org/api/util.html # util_util_getsystemerrorname_err,TIMOB-28244,5
tiapi : add util.isdeepstrictequ ( ) shim add equival implement node.j ' { { util.isdeepstrictequ ( ) } } method : http : //nodejs.org/api/util.html # util_util_isdeepstrictequal_val1_val2,TIMOB-28243,5
