Bug text root form,issue key,Story point
"column queri issu from http : //community.apigee.com/questions/2432/error-analysis-of-response-when-trying-to-curl-que.html # answer-2454 . i seen similar issu . i use org devnexu app 2015 , publicli visibl . in ui , i set path /session queri select name , titl , room titl contain 'java ' , i get respons error . howev , i captur queri made browser ( http : //api.usergrid.com/devnexus/2015/sess ? ql=select % 20name % 2ctitl % 2croom % 20where % 20titl % 20contain % 20 % 27java % 27 % 20order % 20bi % 20creat % 20desc & access_token=ywmtuzeubnpkeesm49lerp5xkqaaauyls2hcr3mkizctkzhiylt1vuiiygn9uu ) use chrome dev tool , queri work curl . you see result someth simpl select titl .",USERGRID-773,3.0
token gener app-level credenti use success header they use access_token qparam header . they need work header well .,USERGRID-770,0.0
acl work expect ? when set follow acl rule /assets/ * user access /assets/xxx also /asset mean list asset . i expect allow /assets/ * would allow /assets/xxx,USERGRID-769,3.0
"bad charact queri caus 500 respons ; expect 400 ? if i make follow call : http : //api.usergrid.com/org/app/collect ? ql=where % 20thirdpropertytypeint % 20 % 3e % 2030000 % 20 & & % 20thirdpropertytypeint % 20 % 3c % 2040000 & limit=10 i get respons : { code } { `` error '' : `` null_point '' , `` timestamp '' : 1435176848310 , `` durat '' : 1 , `` except '' : `` java.lang.nullpointerexcept '' } { code } the caus ampersand queri string n't url encod ( % 26 instead & ) . i would expect queri string bad , return 400 bad request , rather omin nullpointerexception/500 .",USERGRID-768,3.0
portal show progress indic registr when registering/sign form indic chang state 'regist ' button press .,USERGRID-763,3.0
"[ fix ? ] npe cpentitymanager.valid need investig 2.1 releas . 2015-06-16 22:47:20,361 [ http-bio-8080-exec-7 ] error org.apache.usergrid.corepersistence.cpentitymanager- unabl load entiti saparticles-fix : e466f39a-cb97-11e4-b30c-f7cc05dca022 java.lang.nullpointerexcept org.apache.usergrid.corepersistence.cpentitymanager.valid ( cpentitymanager.java:956 ) org.apache.usergrid.corepersistence.cpentitymanager.valid ( cpentitymanager.java:942 ) org.apache.usergrid.corepersistence.cpentitymanager.updateproperti ( cpentitymanager.java:1030 ) org.apache.usergrid.services.abstractservice.updateent ( abstractservice.java:456 ) org.apache.usergrid.services.abstractservice.updateent ( abstractservice.java:444 ) org.apache.usergrid.services.abstractcollectionservice.putitembynam ( abstractcollectionservice.java:305 ) org.apache.usergrid.services.abstractservice.invokeitemwithnam ( abstractservice.java:677 ) org.apache.usergrid.services.abstractservice.invok ( abstractservice.java:628 ) org.apache.usergrid.services.abstractservice.invok ( abstractservice.java:544 ) org.apache.usergrid.services.servicerequest.execut ( servicerequest.java:226 ) org.apache.usergrid.services.servicerequest.execut ( servicerequest.java:193 ) org.apache.usergrid.rest.applications.serviceresource.executeservicerequest ( serviceresource.java:251 ) org.apache.usergrid.rest.applications.serviceresource.executeputwithmap ( serviceresource.java:371 ) org.apache.usergrid.rest.applications.serviceresource.executeput ( serviceresource.java:420 ) sun.reflect.generatedmethodaccessor167.invok ( unknown sourc ) sun.reflect.delegatingmethodaccessorimpl.invok ( delegatingmethodaccessorimpl.java:43 ) java.lang.reflect.method.invok ( method.java:497 ) com.sun.jersey.spi.container.javamethodinvokerfactori $ 1.invok ( javamethodinvokerfactory.java:60 ) com.sun.jersey.server.impl.model.method.dispatch.abstractresourcemethoddispatchprovid $ typeoutinvoker._dispatch ( abstractresourcemethoddispatchprovider.java:185 ) com.sun.jersey.server.impl.model.method.dispatch.resourcejavamethoddispatcher.dispatch ( resourcejavamethoddispatcher.java:75 ) com.sun.jersey.server.impl.uri.rules.httpmethodrule.accept ( httpmethodrule.java:302 ) com.sun.jersey.server.impl.uri.rules.sublocatorrule.accept ( sublocatorrule.java:137 ) com.sun.jersey.server.impl.uri.rules.righthandpathrule.accept ( righthandpathrule.java:147 ) com.sun.jersey.server.impl.uri.rules.sublocatorrule.accept ( sublocatorrule.java:137 ) com.sun.jersey.server.impl.uri.rules.righthandpathrule.accept ( righthandpathrule.java:147 ) com.sun.jersey.server.impl.uri.rules.sublocatorrule.accept ( sublocatorrule.java:137 ) com.sun.jersey.server.impl.uri.rules.righthandpathrule.accept ( righthandpathrule.java:147 ) com.sun.jersey.server.impl.uri.rules.sublocatorrule.accept ( sublocatorrule.java:137 ) com.sun.jersey.server.impl.uri.rules.righthandpathrule.accept ( righthandpathrule.java:147 ) com.sun.jersey.server.impl.uri.rules.resourceclassrule.accept ( resourceclassrule.java:108 ) com.sun.jersey.server.impl.uri.rules.righthandpathrule.accept ( righthandpathrule.java:147 ) com.sun.jersey.server.impl.uri.rules.rootresourceclassesrule.accept ( rootresourceclassesrule.java:84 ) com.sun.jersey.server.impl.application.webapplicationimpl._handlerequest ( webapplicationimpl.java:1542 ) com.sun.jersey.server.impl.application.webapplicationimpl._handlerequest ( webapplicationimpl.java:1473 ) com.sun.jersey.server.impl.application.webapplicationimpl.handlerequest ( webapplicationimpl.java:1419 ) com.sun.jersey.server.impl.application.webapplicationimpl.handlerequest ( webapplicationimpl.java:1409 ) com.sun.jersey.spi.container.servlet.webcomponent.servic ( webcomponent.java:409 ) com.sun.jersey.spi.container.servlet.servletcontainer.servic ( servletcontainer.java:540 ) com.sun.jersey.spi.container.servlet.servletcontainer.dofilt ( servletcontainer.java:909 ) com.sun.jersey.spi.container.servlet.servletcontainer.dofilt ( servletcontainer.java:857 ) com.sun.jersey.spi.container.servlet.servletcontainer.dofilt ( servletcontainer.java:811 ) org.apache.catalina.core.applicationfilterchain.internaldofilt ( applicationfilterchain.java:241 ) org.apache.catalina.core.applicationfilterchain.dofilt ( applicationfilterchain.java:208 ) org.apache.shiro.web.servlet.abstractshirofilter.executechain ( abstractshirofilter.java:449 ) org.apache.shiro.web.servlet.abstractshirofilt $ 1.call ( abstractshirofilter.java:365 ) org.apache.shiro.subject.support.subjectcallable.docal ( subjectcallable.java:90 ) org.apache.shiro.subject.support.subjectcallable.cal ( subjectcallable.java:83 ) org.apache.shiro.subject.support.delegatingsubject.execut ( delegatingsubject.java:383 ) org.apache.shiro.web.servlet.abstractshirofilter.dofilterintern ( abstractshirofilter.java:362 ) org.apache.shiro.web.servlet.onceperrequestfilter.dofilt ( onceperrequestfilter.java:125 ) org.springframework.web.filter.delegatingfilterproxy.invokedeleg ( delegatingfilterproxy.java:346 ) org.springframework.web.filter.delegatingfilterproxy.dofilt ( delegatingfilterproxy.java:259 ) org.apache.catalina.core.applicationfilterchain.internaldofilt ( applicationfilterchain.java:241 ) org.apache.catalina.core.applicationfilterchain.dofilt ( applicationfilterchain.java:208 ) org.apache.usergrid.rest.filters.contenttypefilter.dofilt ( contenttypefilter.java:92 ) org.apache.catalina.core.applicationfilterchain.internaldofilt ( applicationfilterchain.java:241 ) org.apache.catalina.core.applicationfilterchain.dofilt ( applicationfilterchain.java:208 ) org.apache.catalina.core.standardwrappervalve.invok ( standardwrappervalve.java:220 ) org.apache.catalina.core.standardcontextvalve.invok ( standardcontextvalve.java:122 ) org.apache.catalina.authenticator.authenticatorbase.invok ( authenticatorbase.java:503 ) org.apache.catalina.core.standardhostvalve.invok ( standardhostvalve.java:170 ) org.apache.catalina.valves.errorreportvalve.invok ( errorreportvalve.java:103 ) org.apache.catalina.valves.accesslogvalve.invok ( accesslogvalve.java:950 ) org.apache.catalina.core.standardenginevalve.invok ( standardenginevalve.java:116 ) org.apache.catalina.connector.coyoteadapter.servic ( coyoteadapter.java:421 ) org.apache.coyote.http11.abstracthttp11processor.process ( abstracthttp11processor.java:1070 ) org.apache.coyote.abstractprotocol $ abstractconnectionhandler.process ( abstractprotocol.java:611 ) org.apache.tomcat.util.net.jioendpoint $ socketprocessor.run ( jioendpoint.java:316 ) java.util.concurrent.threadpoolexecutor.runwork ( threadpoolexecutor.java:1142 ) java.util.concurrent.threadpoolexecutor $ worker.run ( threadpoolexecutor.java:617 ) org.apache.tomcat.util.threads.taskthread $ wrappingrunnable.run ( taskthread.java:61 ) java.lang.thread.run ( thread.java:745 )",USERGRID-756,3.0
empti respons use cursor ~50 page,USERGRID-753,3.0
test not pass : assetresourceit,USERGRID-745,1.0
"temp file asset upload remov , caus file system use inod after run usergrid 2.0 1 month tomcat , satur inod disk tomcat machin . our temporari file upload get remov . file structur appear { code } ls -lrt /var/cache/tomcat7/temp -rw-r -- r -- 1 tomcat tomcat 0 jun 9 23:23 mime377627531473294092.tmp -rw-r -- r -- 1 tomcat tomcat 0 jun 9 23:23 mime2634951521985073318.tmp -rw-r -- r -- 1 tomcat tomcat 0 jun 9 23:23 mime1066361445384372180.tmp -rw-r -- r -- 1 tomcat tomcat 0 jun 9 23:23 mime3554741621747313255.tmp -rw-r -- r -- 1 tomcat tomcat 0 jun 9 23:23 mime1805372544199883785.tmp -rw-r -- r -- 1 tomcat tomcat 0 jun 9 23:23 mime414525331725926400.tmp { code } we need ensur temporari file remov . note file remain 0 byte . thi seem caus edg case 0 byte file upload , possibl upload fail .",USERGRID-740,5.0
2.0 correctli handl infer type date option time thi caus issu field blank . we need resolv product instal .,USERGRID-738,3.0
sn queue manag use arn read instead url there bug org.apache.usergrid.persistence.queue.impl.snsqueuemanagerimpl result arn queue use url use .,USERGRID-729,1.0
"launcher url point apige the launcher contain url : http : //apigee.github.io/usergrid-portal/ . thi chang reflect new url . do still host admin portal github like apige use ? ... point local instanc specifi api_url argument queri string ? rgd , malaka",USERGRID-728,3.0
"issu get start step github the get start document point apige link henc n't provid expect result . thi could drive away potenti user . document need updat . link : http : //github.com/apache/incubator-usergrid section : get start admin portal unabl access : - http : //github.com/apigee/usergrid-port - http : //apigee.github.com/usergrid-portal/ ? api_url=http : //localhost:8080 rgd , malaka",USERGRID-727,3.0
snsqueuemanagerimpl need better error handl messag it would better preced messag state queue found . com.amazonaws.services.sqs.model.queuedoesnotexistexcept : the specifi queue exist wsdl version . ( servic : amazonsq ; statu code : 400 ; error code : aws.simplequeueservice.nonexistentqueu ; request id : 70c94af9-7d46-5d2b-9a7e-07155ddd1ed5 ) com.amazonaws.http.amazonhttpclient.handleerrorrespons ( amazonhttpclient.java:1160 ) com.amazonaws.http.amazonhttpclient.executeonerequest ( amazonhttpclient.java:748 ) com.amazonaws.http.amazonhttpclient.executehelp ( amazonhttpclient.java:467 ) com.amazonaws.http.amazonhttpclient.execut ( amazonhttpclient.java:302 ) com.amazonaws.services.sqs.amazonsqsclient.invok ( amazonsqsclient.java:2422 ) com.amazonaws.services.sqs.amazonsqsclient.receivemessag ( amazonsqsclient.java:1130 ) org.apache.usergrid.persistence.queue.impl.snsqueuemanagerimpl.getmessag ( snsqueuemanagerimpl.java:234 ) org.apache.usergrid.corepersistence.asyncevents.amazonasynceventservice.tak ( amazonasynceventservice.java:153 ) org.apache.usergrid.corepersistence.asyncevents.amazonasynceventservice.access $ 300 ( amazonasynceventservice.java:66 ) org.apache.usergrid.corepersistence.asyncevents.amazonasynceventservic $ 2.call ( amazonasynceventservice.java:379 ) org.apache.usergrid.corepersistence.asyncevents.amazonasynceventservic $ 2.call ( amazonasynceventservice.java:366 ) rx.observ $ 1.call ( observable.java:144 ) rx.observ $ 1.call ( observable.java:136 ) rx.observable.unsafesubscrib ( observable.java:7495 ) rx.internal.operators.operatorsubscribeon $ 1 $ 1.call ( operatorsubscribeon.java:62 ) rx.internal.schedulers.scheduledaction.run ( scheduledaction.java:55 ) java.util.concurrent.executor $ runnableadapter.cal ( executors.java:511 ) java.util.concurrent.futuretask.run ( futuretask.java:266 ) java.util.concurrent.scheduledthreadpoolexecutor $ scheduledfuturetask.access $ 201 ( scheduledthreadpoolexecutor.java:180 ) java.util.concurrent.scheduledthreadpoolexecutor $ scheduledfuturetask.run ( scheduledthreadpoolexecutor.java:293 ) java.util.concurrent.threadpoolexecutor.runwork ( threadpoolexecutor.java:1142 ) java.util.concurrent.threadpoolexecutor $ worker.run ( threadpoolexecutor.java:617 ) java.lang.thread.run ( thread.java:745 ),USERGRID-725,1.0
test not pass : devicesresourceit seem graph compact issu devicesresourceit.putwithuuidshouldcreateafterdelet,USERGRID-704,1.0
test not pass : managementresourceit testsuperuseronlywhenvalidateexternaltokensen extern test broken .,USERGRID-703,2.0
"test not pass : staleindexcleanuptest result : fail test : staleindexcleanuptest.testcleanuponupdate:462 expect candid without earlier stale entiti expect : < 10 > : < 60 > test run : 258 , failur : 1 , error : 0 , skip : 25",USERGRID-700,1.0
test not pass : notificationsit.testpaging:90,USERGRID-699,2.0
test not pass : connectionresourcetest.connectionsloopbacktest:103 nullpoint,USERGRID-698,2.0
test not pass : adminusersit adminusersit.mgmtuserfeed:190 » uniforminterfac get http : //localhost:10006/ma ...,USERGRID-697,2.0
test not pass : registrationit registrationit.addexistingadminusertoorganization:304 » uniforminterfac post ... registrationit.addnewadminuserwithnopwdtoorganization:245- > postaddadmintoorg:90 » clienthandl registrationit.postaddtoorganization:222- > abstractrestit.getadmintoken:173 » uniforminterfac registrationit.postcreateorgandadmin:134- > abstractrestit.getadmintoken:173 » uniforminterfac registrationit.putaddtoorganizationfail:195- > abstractrestit.getadmintoken:173 » uniforminterfac,USERGRID-695,2.0
test not pass : contenttyperesourceit contenttyperesourceit.formencodedcontenttype:152 expect : < 200 > : < 500 > contenttyperesourceit.noacceptget:262 expect : < 200 > : < 400 >,USERGRID-693,2.0
test not pass : permissionsresourceit permissionsresourceit.applicationpermissions:262 expect : < [ noca ] > : < [ 4peak ] > permissionsresourceit.deleteusergroup:157 null,USERGRID-692,2.0
test not pass : organizationsit,USERGRID-690,2.0
test not pass : managementresourceit 11 test fail,USERGRID-689,2.0
test not pass : andorquerytest fix andorquerytest : queryreturncheck queryreturncheckwithshorthand,USERGRID-687,1.0
test not pass : connectionsserviceit.testentityconnect,USERGRID-685,3.0
ug 1.0 bug db setup separ lock keyspac it seem keyspac get creat /database/setup . cassandra.system.keyspace=sso_ug10 # cassandra.application.keyspace=usergrid_appl cassandra.application.keyspace=sso_ug10_app # cassandra.lock.keyspace=lock cassandra.lock.keyspace=sso_ug10_lock,USERGRID-684,3.0
app credenti work access collect within app ( 2.0 ) in order access collect seem org credenti requir app credenti work .,USERGRID-670,5.0
test not pass : rolesserviceit.deleterol,USERGRID-664,1.0
test not pass : connectionsserviceit,USERGRID-663,1.0
test not pass : appinfomigrationplugintest,USERGRID-662,1.0
test not pass : serviceinvocationit,USERGRID-661,1.0
test not pass : groupserviceit - servic,USERGRID-660,1.0
test not pass : organizationit fail,USERGRID-659,3.0
"issu uniqu valu - npe pleas ensur appropri null check behavior happen : 2015-05-12 17:05:37,811 [ http-bio-8080-exec-14 ] error org.apache.usergrid.rest.exceptions.abstractexceptionmapper- java.lang.nullpointerexcept server error ( 500 ) java.lang.nullpointerexcept org.apache.usergrid.services.abstractconnectionsservice.getitembynam ( abstractconnectionsservice.java:238 ) org.apache.usergrid.services.abstractservice.invokeitemwithnam ( abstractservice.java:671 ) org.apache.usergrid.services.abstractservice.invok ( abstractservice.java:628 ) org.apache.usergrid.services.abstractservice.invok ( abstractservice.java:544 ) org.apache.usergrid.services.servicerequest.execut ( servicerequest.java:226 ) org.apache.usergrid.services.servicerequest.invokemultipl ( servicerequest.java:262 ) org.apache.usergrid.services.servicerequest.execut ( servicerequest.java:229 ) org.apache.usergrid.services.servicerequest.execut ( servicerequest.java:193 ) org.apache.usergrid.rest.applications.serviceresource.executeservicerequest ( serviceresource.java:251 ) org.apache.usergrid.rest.applications.serviceresource.executeget ( serviceresource.java:297 ) sun.reflect.generatedmethodaccessor142.invok ( unknown sourc ) sun.reflect.delegatingmethodaccessorimpl.invok ( delegatingmethodaccessorimpl.java:43 ) java.lang.reflect.method.invok ( method.java:497 ) com.sun.jersey.spi.container.javamethodinvokerfactori $ 1.invok ( javamethodinvokerfactory.java:60 ) com.sun.jersey.server.impl.model.method.dispatch.abstractresourcemethoddispatchprovid $ typeoutinvoker._dispatch ( abstractresourcemethoddispatchprovider.java:185 ) com.sun.jersey.server.impl.model.method.dispatch.resourcejavamethoddispatcher.dispatch ( resourcejavamethoddispatcher.java:75 ) com.sun.jersey.server.impl.uri.rules.httpmethodrule.accept ( httpmethodrule.java:302 ) com.sun.jersey.server.impl.uri.rules.sublocatorrule.accept ( sublocatorrule.java:137 ) com.sun.jersey.server.impl.uri.rules.righthandpathrule.accept ( righthandpathrule.java:147 ) com.sun.jersey.server.impl.uri.rules.sublocatorrule.accept ( sublocatorrule.java:137 ) com.sun.jersey.server.impl.uri.rules.righthandpathrule.accept ( righthandpathrule.java:147 ) com.sun.jersey.server.impl.uri.rules.sublocatorrule.accept ( sublocatorrule.java:137 ) com.sun.jersey.server.impl.uri.rules.righthandpathrule.accept ( righthandpathrule.java:147 ) com.sun.jersey.server.impl.uri.rules.sublocatorrule.accept ( sublocatorrule.java:137 ) com.sun.jersey.server.impl.uri.rules.righthandpathrule.accept ( righthandpathrule.java:147 ) com.sun.jersey.server.impl.uri.rules.sublocatorrule.accept ( sublocatorrule.java:137 ) com.sun.jersey.server.impl.uri.rules.righthandpathrule.accept ( righthandpathrule.java:147 ) com.sun.jersey.server.impl.uri.rules.sublocatorrule.accept ( sublocatorrule.java:137 ) com.sun.jersey.server.impl.uri.rules.righthandpathrule.accept ( righthandpathrule.java:147 ) com.sun.jersey.server.impl.uri.rules.resourceclassrule.accept ( resourceclassrule.java:108 ) com.sun.jersey.server.impl.uri.rules.righthandpathrule.accept ( righthandpathrule.java:147 ) com.sun.jersey.server.impl.uri.rules.rootresourceclassesrule.accept ( rootresourceclassesrule.java:84 ) com.sun.jersey.server.impl.application.webapplicationimpl._handlerequest ( webapplicationimpl.java:1542 ) com.sun.jersey.server.impl.application.webapplicationimpl._handlerequest ( webapplicationimpl.java:1473 ) com.sun.jersey.server.impl.application.webapplicationimpl.handlerequest ( webapplicationimpl.java:1419 ) com.sun.jersey.server.impl.application.webapplicationimpl.handlerequest ( webapplicationimpl.java:1409 ) com.sun.jersey.spi.container.servlet.webcomponent.servic ( webcomponent.java:409 ) com.sun.jersey.spi.container.servlet.servletcontainer.servic ( servletcontainer.java:540 ) com.sun.jersey.spi.container.servlet.servletcontainer.dofilt ( servletcontainer.java:909 ) com.sun.jersey.spi.container.servlet.servletcontainer.dofilt ( servletcontainer.java:857 ) com.sun.jersey.spi.container.servlet.servletcontainer.dofilt ( servletcontainer.java:811 ) org.apache.catalina.core.applicationfilterchain.internaldofilt ( applicationfilterchain.java:241 ) org.apache.catalina.core.applicationfilterchain.dofilt ( applicationfilterchain.java:208 ) org.apache.shiro.web.servlet.abstractshirofilter.executechain ( abstractshirofilter.java:449 ) org.apache.shiro.web.servlet.abstractshirofilt $ 1.call ( abstractshirofilter.java:365 ) org.apache.shiro.subject.support.subjectcallable.docal ( subjectcallable.java:90 ) org.apache.shiro.subject.support.subjectcallable.cal ( subjectcallable.java:83 ) org.apache.shiro.subject.support.delegatingsubject.execut ( delegatingsubject.java:383 ) org.apache.shiro.web.servlet.abstractshirofilter.dofilterintern ( abstractshirofilter.java:362 ) org.apache.shiro.web.servlet.onceperrequestfilter.dofilt ( onceperrequestfilter.java:125 ) org.springframework.web.filter.delegatingfilterproxy.invokedeleg ( delegatingfilterproxy.java:346 ) org.springframework.web.filter.delegatingfilterproxy.dofilt ( delegatingfilterproxy.java:259 ) org.apache.catalina.core.applicationfilterchain.internaldofilt ( applicationfilterchain.java:241 ) org.apache.catalina.core.applicationfilterchain.dofilt ( applicationfilterchain.java:208 ) org.apache.usergrid.rest.filters.contenttypefilter.dofilt ( contenttypefilter.java:92 ) org.apache.catalina.core.applicationfilterchain.internaldofilt ( applicationfilterchain.java:241 ) org.apache.catalina.core.applicationfilterchain.dofilt ( applicationfilterchain.java:208 ) org.apache.catalina.core.standardwrappervalve.invok ( standardwrappervalve.java:220 ) org.apache.catalina.core.standardcontextvalve.invok ( standardcontextvalve.java:122 ) org.apache.catalina.authenticator.authenticatorbase.invok ( authenticatorbase.java:503 ) org.apache.catalina.core.standardhostvalve.invok ( standardhostvalve.java:170 ) org.apache.catalina.valves.errorreportvalve.invok ( errorreportvalve.java:103 ) org.apache.catalina.valves.accesslogvalve.invok ( accesslogvalve.java:950 ) org.apache.catalina.core.standardenginevalve.invok ( standardenginevalve.java:116 ) org.apache.catalina.connector.coyoteadapter.servic ( coyoteadapter.java:421 ) org.apache.coyote.http11.abstracthttp11processor.process ( abstracthttp11processor.java:1070 ) org.apache.coyote.abstractprotocol $ abstractconnectionhandler.process ( abstractprotocol.java:611 ) org.apache.tomcat.util.net.jioendpoint $ socketprocessor.run ( jioendpoint.java:316 ) java.util.concurrent.threadpoolexecutor.runwork ( threadpoolexecutor.java:1142 ) java.util.concurrent.threadpoolexecutor $ worker.run ( threadpoolexecutor.java:617 ) org.apache.tomcat.util.threads.taskthread $ wrappingrunnable.run ( taskthread.java:61 ) java.lang.thread.run ( thread.java:745 )",USERGRID-647,3.0
